spygen_code,label,prediction,residual,domain_true,domain_pred,domain_correct
SPY201963,0,1,-1,1,1,1
SPY201966,0,0,0,1,1,1
SPY210636,0,0,0,1,0,0
SPY210640,0,0,0,1,0,0
SPY210641,0,0,0,3,3,1
SPY210642,0,0,0,3,1,0
SPY210696,0,0,0,1,1,1
SPY210697,0,0,0,1,1,1
SPY210698,0,0,0,1,1,1
SPY210699,0,0,0,1,1,1
SPY210705,0,0,0,1,1,1
SPY210710,0,0,0,1,1,1
SPY210712,0,0,0,1,1,1
SPY210713,0,0,0,1,1,1
SPY210714,0,0,0,1,1,1
SPY210717,0,0,0,1,1,1
SPY210718,0,0,0,1,1,1
SPY210719,0,0,0,1,1,1
SPY210720,0,0,0,1,1,1
SPY210721,0,0,0,1,1,1
SPY210722,0,0,0,1,1,1
SPY210723,0,0,0,1,3,0
SPY210724,0,0,0,1,1,1
SPY210727,0,0,0,1,1,1
SPY210728,0,0,0,1,1,1
SPY222967,0,4,-4,2,2,1
SPY222969,0,4,-4,2,2,1
SPY222977,0,4,-4,2,2,1
SPY231711,0,0,0,3,3,1
SPY231712,0,0,0,3,0,0
SPY231735,0,0,0,3,1,0
SPY231736,0,0,0,3,1,0
SPY231737,0,0,0,3,3,1
SPY231738,0,1,-1,3,3,1
SPY231739,0,0,0,3,3,1
SPY231740,0,0,0,3,3,1
SPY231780,0,0,0,3,2,0
SPY231781,0,0,0,3,3,1
SPY231782,0,0,0,3,2,0
SPY231783,0,0,0,3,2,0
SPY231784,0,0,0,3,2,0
SPY231785,0,0,0,3,2,0
SPY231786,0,0,0,3,1,0
SPY231787,0,0,0,3,3,1
SPY231788,0,0,0,3,1,0
SPY231789,0,0,0,3,3,1
SPY231790,0,0,0,3,3,1
SPY231791,0,2,-2,3,3,1
SPY231792,0,0,0,3,1,0
SPY231793,0,0,0,3,3,1
SPY231795,0,0,0,3,3,1
SPY231895,0,0,0,1,1,1
SPY231896,0,0,0,1,1,1
SPY231903,0,0,0,0,0,1
SPY231904,0,0,0,0,0,1
SPY231905,0,0,0,1,1,1
SPY231906,0,0,0,1,2,0
SPY232830,0,0,0,1,1,1
SPY232831,0,0,0,1,3,0
SPY201168,0,2,-2,3,1,0
SPY201170,0,0,0,3,1,0
SPY201172,0,0,0,2,3,0
SPY201185,0,0,0,2,3,0
SPY210645,0,0,0,1,3,0
SPY210657,0,0,0,1,3,0
SPY210661,0,0,0,1,1,1
SPY210662,0,0,0,1,3,0
SPY211268,0,0,0,2,3,0
SPY211274,0,0,0,1,2,0
SPY211278,0,1,-1,1,1,1
SPY211305,0,0,0,2,2,1
SPY231891,0,0,0,0,0,1
SPY231892,0,0,0,0,0,1
SPY231741,0,0,0,3,1,0
SPY231742,0,0,0,3,1,0
SPY231743,0,0,0,3,3,1
SPY231744,0,1,-1,3,3,1
SPY231865,0,0,0,3,2,0
SPY231870,0,0,0,3,1,0
SPY231871,0,0,0,3,2,0
SPY231873,0,0,0,3,1,0
SPY231874,0,0,0,3,1,0
SPY231877,0,0,0,3,2,0
SPY231878,0,0,0,3,1,0
SPY231909,1,0,1,0,3,0
SPY231910,1,0,1,0,2,0
SPY210650,4,0,4,1,3,0
SPY201216,4,1,3,1,1,1
SPY201263,4,1,3,1,1,1
SPY210655,4,0,4,1,3,0
SPY210656,4,0,4,1,1,1
SPY210660,4,0,4,1,1,1
SPY231733,4,0,4,3,0,0
SPY231734,4,0,4,3,3,1
SPY222970,4,1,3,2,1,0
SPY222972,4,4,0,2,2,1
SPY222973,4,1,3,2,1,0
SPY222974,4,4,0,2,2,1
SPY181149,4,1,3,2,1,0
SPY181150,4,1,3,2,1,0
SPY231893,4,1,3,0,3,0
SPY231894,4,1,3,0,3,0
SPY201175,4,0,4,1,1,1
SPY201191,4,0,4,1,1,1
SPY202496,4,0,4,1,1,1
SPY202498,4,0,4,1,1,1
