spygen_code,label,prediction,residual
SPY231655,0,0,0
SPY231656,0,0,0
SPY231657,0,0,0
SPY231665,0,2,-2
SPY231666,0,2,-2
SPY231677,1,2,-1
SPY231678,1,2,-1
SPY231679,1,2,-1
SPY231680,1,2,-1
SPY231681,2,4,-2
SPY231682,2,2,0
SPY231683,2,2,0
SPY231684,2,2,0
SPY231685,2,2,0
SPY231686,2,2,0
SPY231687,2,2,0
SPY231688,2,2,0
SPY231689,2,2,0
SPY231690,2,2,0
SPY231691,1,0,1
SPY231692,1,0,1
SPY231693,1,0,1
SPY231694,1,0,1
SPY231717,0,2,-2
SPY231718,0,1,-1
SPY231719,0,0,0
SPY231720,0,0,0
SPY231721,0,0,0
SPY231722,0,0,0
SPY231723,0,0,0
SPY231724,0,0,0
SPY231794,0,0,0
SPY231796,0,0,0
SPY231797,0,0,0
SPY231798,0,0,0
