"spygen_code","set"
"SPY211053","train"
"SPY211057","train"
"SPY201149","train"
"SPY201151","train"
"SPY201176","train"
"SPY201177","train"
"SPY201179","train"
"SPY201193","train"
"SPY201956","train"
"SPY201963","train"
"SPY201965","train"
"SPY201966","train"
"SPY202492","train"
"SPY202499","train"
"SPY210636","train"
"SPY210640","train"
"SPY210641","train"
"SPY210642","train"
"SPY210647","train"
"SPY210652","train"
"SPY210667","train"
"SPY210668","train"
"SPY210669","train"
"SPY210672","train"
"SPY210673","train"
"SPY210674","train"
"SPY210675","train"
"SPY210677","train"
"SPY210678","train"
"SPY210695","train"
"SPY210696","train"
"SPY210697","train"
"SPY210698","train"
"SPY210699","train"
"SPY210700","train"
"SPY210705","train"
"SPY210710","train"
"SPY210712","train"
"SPY210713","train"
"SPY210714","train"
"SPY210715","train"
"SPY210717","train"
"SPY210718","train"
"SPY210719","train"
"SPY210720","train"
"SPY210721","train"
"SPY210722","train"
"SPY210723","train"
"SPY210724","train"
"SPY210727","train"
"SPY210728","train"
"SPY212584","train"
"SPY212585","train"
"SPY212586","train"
"SPY212587","train"
"SPY231655","train"
"SPY231656","train"
"SPY231657","train"
"SPY231658","train"
"SPY231659","train"
"SPY231665","train"
"SPY231666","train"
"SPY231667","train"
"SPY231668","train"
"SPY231705","train"
"SPY231706","train"
"SPY231707","train"
"SPY231708","train"
"SPY231709","train"
"SPY231710","train"
"SPY231711","train"
"SPY231712","train"
"SPY231748","train"
"SPY231749","train"
"SPY231754","train"
"SPY231755","train"
"SPY231756","train"
"SPY231757","train"
"SPY231762","train"
"SPY231763","train"
"SPY231764","train"
"SPY231765","train"
"SPY231766","train"
"SPY231767","train"
"SPY231774","train"
"SPY231775","train"
"SPY231776","train"
"SPY231777","train"
"SPY231778","train"
"SPY231779","train"
"SPY231780","train"
"SPY231781","train"
"SPY231782","train"
"SPY231783","train"
"SPY231784","train"
"SPY231785","train"
"SPY231786","train"
"SPY231787","train"
"SPY231788","train"
"SPY231789","train"
"SPY231790","train"
"SPY231791","train"
"SPY231792","train"
"SPY231793","train"
"SPY231794","train"
"SPY231795","train"
"SPY231796","train"
"SPY231797","train"
"SPY231798","train"
"SPY231901","train"
"SPY231902","train"
"SPY231905","train"
"SPY231906","train"
"SPY231907","train"
"SPY231908","train"
"SPY231915","train"
"SPY231916","train"
"SPY232830","train"
"SPY232831","train"
"SPY232832","train"
"SPY232833","train"
"SPY232834","train"
"SPY232835","train"
"SPY201153","train"
"SPY201160","train"
"SPY201161","train"
"SPY201162","train"
"SPY201164","train"
"SPY201167","train"
"SPY201168","train"
"SPY201169","train"
"SPY201170","train"
"SPY201171","train"
"SPY201172","train"
"SPY201180","train"
"SPY201185","train"
"SPY201186","train"
"SPY201190","train"
"SPY201958","train"
"SPY202493","train"
"SPY202494","train"
"SPY202506","train"
"SPY202509","train"
"SPY202510","train"
"SPY202514","train"
"SPY202515","train"
"SPY210643","train"
"SPY210644","train"
"SPY210645","train"
"SPY210646","train"
"SPY210648","train"
"SPY210651","train"
"SPY210657","train"
"SPY210658","train"
"SPY210659","train"
"SPY210661","train"
"SPY210662","train"
"SPY210663","train"
"SPY210664","train"
"SPY210665","train"
"SPY210666","train"
"SPY210670","train"
"SPY210671","train"
"SPY210676","train"
"SPY210679","train"
"SPY210680","train"
"SPY210681","train"
"SPY210682","train"
"SPY210683","train"
"SPY210684","train"
"SPY210685","train"
"SPY210686","train"
"SPY210687","train"
"SPY210688","train"
"SPY210689","train"
"SPY210690","train"
"SPY210691","train"
"SPY210692","train"
"SPY210693","train"
"SPY210694","train"
"SPY211262","train"
"SPY211263","train"
